2024-03-30 14:41:58,849 INFO    StreamThr :17433 [internal.py:wandb_internal():86] W&B internal server running at pid: 17433, started at: 2024-03-30 14:41:58.847883
2024-03-30 14:41:58,852 DEBUG   HandlerThread:17433 [handler.py:handle_request():146] handle_request: status
2024-03-30 14:41:58,868 INFO    WriterThread:17433 [datastore.py:open_for_write():87] open: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_144158-6tbx1yfu/run-6tbx1yfu.wandb
2024-03-30 14:41:58,871 DEBUG   SenderThread:17433 [sender.py:send():379] send: header
2024-03-30 14:41:58,905 DEBUG   SenderThread:17433 [sender.py:send():379] send: run
2024-03-30 14:41:59,328 INFO    SenderThread:17433 [dir_watcher.py:__init__():211] watching files in: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_144158-6tbx1yfu/files
2024-03-30 14:41:59,329 INFO    SenderThread:17433 [sender.py:_start_run_threads():1124] run started: 6tbx1yfu with start time 1711806118.851421
2024-03-30 14:41:59,362 DEBUG   HandlerThread:17433 [handler.py:handle_request():146] handle_request: check_version
2024-03-30 14:41:59,363 DEBUG   SenderThread:17433 [sender.py:send_request():406] send_request: check_version
2024-03-30 14:41:59,512 DEBUG   HandlerThread:17433 [handler.py:handle_request():146] handle_request: run_start
2024-03-30 14:41:59,546 DEBUG   HandlerThread:17433 [system_info.py:__init__():26] System info init
2024-03-30 14:41:59,547 DEBUG   HandlerThread:17433 [system_info.py:__init__():41] System info init done
2024-03-30 14:41:59,547 INFO    HandlerThread:17433 [system_monitor.py:start():194] Starting system monitor
2024-03-30 14:41:59,547 INFO    SystemMonitor:17433 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-30 14:41:59,548 INFO    HandlerThread:17433 [system_monitor.py:probe():214] Collecting system info
2024-03-30 14:41:59,549 INFO    SystemMonitor:17433 [interfaces.py:start():190] Started cpu monitoring
2024-03-30 14:41:59,551 INFO    SystemMonitor:17433 [interfaces.py:start():190] Started disk monitoring
2024-03-30 14:41:59,554 INFO    SystemMonitor:17433 [interfaces.py:start():190] Started gpu monitoring
2024-03-30 14:41:59,554 INFO    SystemMonitor:17433 [interfaces.py:start():190] Started memory monitoring
2024-03-30 14:41:59,555 INFO    SystemMonitor:17433 [interfaces.py:start():190] Started network monitoring
2024-03-30 14:41:59,569 DEBUG   HandlerThread:17433 [system_info.py:probe():150] Probing system
2024-03-30 14:41:59,577 DEBUG   HandlerThread:17433 [system_info.py:_probe_git():135] Probing git
2024-03-30 14:41:59,607 DEBUG   HandlerThread:17433 [system_info.py:_probe_git():143] Probing git done
2024-03-30 14:41:59,607 DEBUG   HandlerThread:17433 [system_info.py:probe():198] Probing system done
