2024-03-30 14:41:49,535 INFO    StreamThr :16786 [internal.py:wandb_internal():86] W&B internal server running at pid: 16786, started at: 2024-03-30 14:41:49.533952
2024-03-30 14:41:49,536 DEBUG   HandlerThread:16786 [handler.py:handle_request():146] handle_request: status
2024-03-30 14:41:49,543 INFO    WriterThread:16786 [datastore.py:open_for_write():87] open: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_144149-dcgrgjsb/run-dcgrgjsb.wandb
2024-03-30 14:41:49,544 DEBUG   SenderThread:16786 [sender.py:send():379] send: header
2024-03-30 14:41:49,561 DEBUG   SenderThread:16786 [sender.py:send():379] send: run
2024-03-30 14:41:49,975 INFO    SenderThread:16786 [dir_watcher.py:__init__():211] watching files in: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_144149-dcgrgjsb/files
2024-03-30 14:41:49,975 INFO    SenderThread:16786 [sender.py:_start_run_threads():1124] run started: dcgrgjsb with start time 1711806109.536466
2024-03-30 14:41:49,988 DEBUG   HandlerThread:16786 [handler.py:handle_request():146] handle_request: check_version
2024-03-30 14:41:49,988 DEBUG   SenderThread:16786 [sender.py:send_request():406] send_request: check_version
2024-03-30 14:41:50,100 DEBUG   HandlerThread:16786 [handler.py:handle_request():146] handle_request: run_start
2024-03-30 14:41:50,115 DEBUG   HandlerThread:16786 [system_info.py:__init__():26] System info init
2024-03-30 14:41:50,115 DEBUG   HandlerThread:16786 [system_info.py:__init__():41] System info init done
2024-03-30 14:41:50,115 INFO    HandlerThread:16786 [system_monitor.py:start():194] Starting system monitor
2024-03-30 14:41:50,116 INFO    SystemMonitor:16786 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-30 14:41:50,116 INFO    HandlerThread:16786 [system_monitor.py:probe():214] Collecting system info
2024-03-30 14:41:50,116 INFO    SystemMonitor:16786 [interfaces.py:start():190] Started cpu monitoring
2024-03-30 14:41:50,117 INFO    SystemMonitor:16786 [interfaces.py:start():190] Started disk monitoring
2024-03-30 14:41:50,117 INFO    SystemMonitor:16786 [interfaces.py:start():190] Started gpu monitoring
2024-03-30 14:41:50,118 INFO    SystemMonitor:16786 [interfaces.py:start():190] Started memory monitoring
2024-03-30 14:41:50,119 INFO    SystemMonitor:16786 [interfaces.py:start():190] Started network monitoring
2024-03-30 14:41:50,129 DEBUG   HandlerThread:16786 [system_info.py:probe():150] Probing system
2024-03-30 14:41:50,133 DEBUG   HandlerThread:16786 [system_info.py:_probe_git():135] Probing git
2024-03-30 14:41:50,147 DEBUG   HandlerThread:16786 [system_info.py:_probe_git():143] Probing git done
2024-03-30 14:41:50,147 DEBUG   HandlerThread:16786 [system_info.py:probe():198] Probing system done
